Player,Nation,Age,league_name,Min,Sh/90,Gls/90,Ast/90,Fls/90,TklW/90,Min/90,Valor_de_Mercado,Performance_Score,sub_valorização,Cluster,pca_1,pca_2,images
Jamie Leweling,Germany,25.0,Bundesliga,1842,1.95,0.3420195439739414,0.2931596091205212,0.6840390879478828,0.4397394136807818,20.466666666666665,40000000.0,0.2786128082098635,143568417.60795942,2,-2.392187498655176,1.015379038192722,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Jamie_leweling.jpg/500px-Jamie_leweling.jpg
Luca Lipani,Italy,20.0,Serie A,722,1.25,0.0,0.0,2.8670360110803323,1.745152354570637,8.022222222222222,7500000.0,0.404027249583951,18563104.36418128,1,2.175833664697615,-1.129884403785248,https://img.a.transfermarkt.technology/portrait/header/724106-1681206396.jpg?lm=1
Iker Losada,Spain,24.0,La Liga,583,1.7,0.3087478559176672,0.1543739279588336,0.7718696397941681,1.0806174957118353,6.477777777777778,1400000.0,0.2255845401027471,6206099.04988321,2,-1.2393361726894283,0.0013920479550358,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Partido_Galicia_-_Panam%C3%A1_en_Bala%C3%ADdos_108_%28cropped%29.jpg/500px-Partido_Galicia_-_Panam%C3%A1_en_Bala%C3%ADdos_108_%28cropped%29.jpg
Tom Louchet,France,22.0,Ligue 1,1133,1.59,0.2383053839364519,0.1588702559576346,1.1120917917034423,0.9532215357458076,12.588888888888889,7000000.0,0.1725992906523788,40556365.982397065,0,-0.8715397266008991,0.1409380884908143,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Louchet_asse_ogcn_2425.png/500px-Louchet_asse_ogcn_2425.png
Soungoutou Magassa,France,22.0,Premier League,964,0.65,0.0933609958506224,0.0,1.587136929460581,2.147302904564316,10.71111111111111,17000000.0,0.1052020065433643,161593875.99696195,1,1.8310061905500747,-0.7809113172846968,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Magassa_asse_asm_2425.png/500px-Magassa_asse_asm_2425.png
Patrizio Masini,Italy,25.0,Serie A,1166,1.0,0.0,0.0771869639794168,2.469982847341338,2.6243567753001718,12.955555555555556,5000000.0,0.6773915383535088,7381255.473242509,1,2.737493880082855,-0.5720958458634204,https://img.a.transfermarkt.technology/portrait/header/459665-1742901177.jpg?lm=1
Pape Matar Sarr,Senegal,23.0,Premier League,1237,0.95,0.1455133387227162,0.2182700080840743,1.746160064672595,1.3823767178658044,13.744444444444444,32000000.0,0.3602562980566292,88825650.44003719,0,0.4882036649257581,0.7008247531041791,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Pape_Matar_Sarr_France_v_Senegal_16_June_2026-227.jpg/500px-Pape_Matar_Sarr_France_v_Senegal_16_June_2026-227.jpg
Ibrahim Maza,Algeria,20.0,Bundesliga,1166,2.62,0.1543739279588336,0.2315608919382504,0.9262435677530017,1.234991423670669,12.955555555555556,40000000.0,0.4877104825477243,82015870.95492837,2,-1.2730223601476258,0.4042455807541557,https://img.a.transfermarkt.technology/portrait/header/905011-1758702817.jpg?lm=1
Pathé Mboup,Senegal,22.0,Ligue 1,877,1.85,0.1026225769669327,0.0,2.976054732041049,1.4367160775370582,9.744444444444444,3000000.0,0.6139017815806339,4886775.197615158,1,1.2863907512498165,-1.5240958488039102,https://img.a.transfermarkt.technology/portrait/header/979551-1709884981.png?lm=1
Dayann Methalie,France,20.0,Ligue 1,1464,0.68,0.0,0.0,2.5819672131147544,1.475409836065574,16.266666666666666,12000000.0,0.0556854674539677,215496080.91051337,1,2.1075597843197085,-0.7512221779867259,https://img.a.transfermarkt.technology/portrait/header/1191444-1758104984.jpg?lm=1
Yankuba Minteh,Gambia,21.0,Premier League,1757,1.74,0.1024473534433693,0.2048947068867387,1.0244735344336935,1.3830392714854869,19.522222222222226,40000000.0,0.2390443697986861,167332951.75990316,0,-0.3193172752328373,0.5960371909159615,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Yankuba_Minteh_24012026_%281%29.jpg/500px-Yankuba_Minteh_24012026_%281%29.jpg
Fabio Miretti,Italy,22.0,Serie A,524,2.75,0.1717557251908397,0.3435114503816794,2.0610687022900764,1.3740458015267176,5.822222222222222,16000000.0,1.1636623790671063,13749692.597974166,0,-0.7629720957471945,0.7401884485028211,https://commons.wikimedia.org/wiki/Special:FilePath/UEFA_Youth_League_Zenit-Juventus%2C_2021-10-20_03_(cropped).jpg
Alberto Moleiro,Spain,22.0,La Liga,1818,1.93,0.4455445544554455,0.198019801980198,1.3366336633663367,0.6435643564356436,20.2,40000000.0,0.5612589137826738,71268355.86523706,2,-1.9027372542632972,-0.1077667134971358,https://img.a.transfermarkt.technology/portrait/header/733576-1737365948.jpg?lm=1
Bilal Nadir,Morocco,22.0,Ligue 1,565,1.12,0.0,0.6371681415929203,3.504424778761062,1.4336283185840708,6.277777777777778,9000000.0,1.496587725869889,6013680.216954049,0,1.1957785841691984,3.365714881177956,https://upload.wikimedia.org/wikipedia/commons/e/ef/Nadir_asse_om_2425.png
Sebastian Nanasi,Sweden,23.0,Ligue 1,439,2.05,0.6150341685649202,0.20501138952164,0.8200455580865603,0.6150341685649202,4.877777777777778,12000000.0,0.6504667796585994,18448290.32821362,2,-2.84207331362725,-0.2689732451971408,https://upload.wikimedia.org/wikipedia/commons/8/8d/Nanasi_asse_rcsa_2425.jpg
Iliman Ndiaye,Senegal,26.0,Premier League,2060,1.27,0.2184466019417475,0.1310679611650485,1.0922330097087378,1.3980582524271843,22.88888888888889,50000000.0,0.186622129419769,267921066.78589568,0,-0.1674662618663738,0.0042282994576904,https://upload.wikimedia.org/wikipedia/commons/e/ec/Iliman_Ndiaye.png
Paul Nebel,Germany,23.0,Bundesliga,1416,1.21,0.1271186440677966,0.0635593220338983,1.2711864406779665,1.4618644067796611,15.733333333333333,15000000.0,0.0219012876994257,684891235.888074,1,0.4349748567654233,-0.3486784054027892,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Paul_Nebel_with_Mainz_05_%282026%29.jpg/500px-Paul_Nebel_with_Mainz_05_%282026%29.jpg
Martim Neto,Portugal,23.0,La Liga,1177,0.92,0.1529311809685641,0.3823279524214104,1.2234494477485132,0.6881903143585387,13.077777777777778,5000000.0,0.1795187101724661,27852250.02561812,0,-0.7857229129715094,2.202553756689894,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Next_Generation_Trophy_2018_-Erster_Tag_05.jpg/500px-Next_Generation_Trophy_2018_-Erster_Tag_05.jpg
Hans Nicolussi Caviglia,Italy,25.0,Serie A,585,0.62,0.0,0.1538461538461538,2.3076923076923075,1.0769230769230769,6.5,6000000.0,0.040624371032121,147694594.342295,1,1.321166354877621,0.5554219193751587,https://img.a.transfermarkt.technology/portrait/header/430280-1743004805.jpg?lm=1
Eddie Nketiah,England,26.0,Premier League,424,3.18,0.4245283018867924,0.0,1.4858490566037736,1.2735849056603774,4.711111111111111,14000000.0,0.8298462077228566,16870595.864282813,2,-1.5920663077200277,-2.1794720455000838,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/1_Eddie_Nketiah_2018.jpg/500px-1_Eddie_Nketiah_2018.jpg
Matt O'Riley,Denmark,25.0,Ligue 1,741,0.85,0.1214574898785425,0.242914979757085,1.8218623481781375,0.97165991902834,8.233333333333333,20000000.0,0.205479970704568,97333087.65531848,0,0.2498092495264865,1.0408811260883104,https://upload.wikimedia.org/wikipedia/commons/0/00/2023.07.19_Yokohama_F._Marinos_-_Celtic_Glasgow_%286-4%29_-_53062949186_%28Matt_Oriley%29.jpg
Jens Odgaard,Denmark,26.0,Serie A,1240,2.32,0.3629032258064515,0.0725806451612903,1.8870967741935485,0.7258064516129031,13.77777777777778,15000000.0,0.5622741664897367,26677377.147957228,2,-1.2477611609682813,-1.1884027525117538,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Go_Ahead_Eagles_-_AZ_%28Jens_Odgaard%29.jpg/500px-Go_Ahead_Eagles_-_AZ_%28Jens_Odgaard%29.jpg
Dango Ouattara,Burkina Faso,24.0,Premier League,1700,1.91,0.2647058823529412,0.1588235294117647,1.111764705882353,0.5823529411764706,18.88888888888889,35000000.0,0.1446769363923936,241918310.35924613,2,-1.4884173827451028,0.0536168620150801,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Dango_Ouattara_29112025_%281%29.jpg/500px-Dango_Ouattara_29112025_%281%29.jpg
Azzedine Ounahi,Morocco,25.0,La Liga,940,2.97,0.3829787234042553,0.1914893617021276,1.053191489361702,0.7659574468085106,10.444444444444445,10000000.0,0.6840946056927735,14617861.209230168,2,-2.43307010307717,-0.3883069996122811,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Azzedine_Ounahi_Brazil_V_Morocco_13_June_2026-159_%28cropped%29.jpg/500px-Azzedine_Ounahi_Brazil_V_Morocco_13_June_2026-159_%28cropped%29.jpg
Igor Paixão,Brazil,25.0,Ligue 1,1455,2.47,0.3092783505154639,0.2474226804123711,0.9278350515463916,0.3711340206185566,16.166666666666668,35000000.0,0.3479636777714384,100585211.1466356,2,-2.446301871309836,0.4878468581210157,https://upload.wikimedia.org/wikipedia/commons/e/ef/Feyenoord_-_GAE_-_53333388957_%28Igor_Paix%C3%A3o%29.jpg
Nicolás Paz,Argentina,21.0,Serie A,2293,3.92,0.3532490187527257,0.2354993458351504,1.7662450937636285,1.530745747928478,25.477777777777774,500000.0,1.4995422408704209,333435.0886372972,2,-1.8752690473835127,-0.7964315496837789,https://commons.wikimedia.org/wiki/Special:FilePath/Dr._Nicol%C3%A1s_Paz_Pardo.jpg
Niccolò Pisilli,Italy,21.0,Serie A,692,1.56,0.130057803468208,0.2601156069364161,1.300578034682081,1.1705202312138727,7.688888888888889,20000000.0,0.3297613312176413,60649924.98104658,0,-0.406537956027575,0.9768757911792184,https://img.a.transfermarkt.technology/portrait/header/813137-1683527978.jpg?lm=1
Tommaso Pobega,Italy,26.0,Serie A,1137,1.74,0.158311345646438,0.079155672823219,2.137203166226913,1.187335092348285,12.633333333333333,9000000.0,0.4096393116496754,21970547.61115511,1,0.2833091405189407,-0.7045127929762707,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/FC_Salzburg_vs._AC_Mailand_%28UEFA_Championsleague_2022-09-06%29_60_%28cropped%29.jpg/500px-FC_Salzburg_vs._AC_Mailand_%28UEFA_Championsleague_2022-09-06%29_60_%28cropped%29.jpg
Ernest Poku,Netherlands,22.0,Bundesliga,1383,1.69,0.3253796095444685,0.2603036876355748,0.2603036876355748,0.5856832971800434,15.366666666666667,25000000.0,0.0504837998928711,495208364.92203647,2,-2.25603073744544,1.0089542160668157,https://upload.wikimedia.org/wikipedia/commons/c/c4/Ernest_Poku.png
Alexander Prass,Austria,24.0,Bundesliga,999,1.44,0.2702702702702703,0.1801801801801802,1.981981981981982,1.8018018018018016,11.1,7000000.0,0.8396983956881963,8336326.514311096,1,0.4183738721969129,-0.1823070187530874,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/FC_Liefering_versus_WSG_Wattens_%2824._Mai_2019%29_06.jpg/500px-FC_Liefering_versus_WSG_Wattens_%2824._Mai_2019%29_06.jpg
Largie Ramazani,Belgium,25.0,La Liga,638,3.67,0.5642633228840126,0.1410658307210031,1.8338557993730409,0.8463949843260189,7.088888888888889,8000000.0,1.3250739674065226,6037398.814541544,2,-2.738540994941544,-1.6358688590560713,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Largie_Ramazani_at_the_Leeds_United_Championship_parade_in_May_2025_%28cropped%29.jpg/500px-Largie_Ramazani_at_the_Leeds_United_Championship_parade_in_May_2025_%28cropped%29.jpg
Alejandro Rego,Spain,22.0,La Liga,707,1.27,0.1272984441301273,0.0,2.927864214992928,1.654879773691655,7.855555555555555,3000000.0,0.5686945922799683,5275239.18940854,1,1.748056328566996,-1.381013673376208,https://img.a.transfermarkt.technology/portrait/header/834491-1709677367.png?lm=1
Fabian Rieder,Switzerland,24.0,Bundesliga,1623,1.5,0.166358595194085,0.166358595194085,1.77449168207024,0.7763401109057301,18.03333333333333,8000000.0,0.2166317810108065,36929022.89161776,0,-0.3569779958670989,0.2106358200385269,https://img.a.transfermarkt.technology/portrait/header/507341-1773671220.jpg?lm=1
Nicolò Rovella,Italy,24.0,Serie A,343,0.26,0.0,0.2623906705539359,0.7871720116618076,2.361516034985423,3.811111111111111,23000000.0,0.1175986146837541,195580535.21167356,0,1.5461371201698495,1.6251650249691902,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Norway_Italy_-_June_2025_A_22_%28cropped%29.jpg/500px-Norway_Italy_-_June_2025_A_22_%28cropped%29.jpg
Osame Sahraoui,Morocco,24.0,Ligue 1,463,2.14,0.1943844492440604,0.3887688984881209,0.5831533477321814,0.5831533477321814,5.144444444444445,10000000.0,0.302409446090738,33067750.129073344,0,-2.1924105301480155,1.906659950666368,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Osame_Sahraoui_asse_losc_2425_%28cropped%29.jpg/500px-Osame_Sahraoui_asse_losc_2425_%28cropped%29.jpg
Alisson Santos,Brazil,23.0,Serie A,339,3.45,0.5309734513274337,0.0,0.0,1.592920353982301,3.7666666666666666,13000000.0,0.6699680277637845,19403911.02451758,2,-2.730590294574139,-2.1170645706926607,https://img.a.transfermarkt.technology/portrait/header/830365-1765306584.jpg?lm=1
András Schäfer,Hungary,26.0,Bundesliga,987,1.82,0.0911854103343465,0.0,2.6443768996960486,1.641337386018237,10.966666666666669,4500000.0,0.559283802206646,8046004.519074782,1,1.3134317589637363,-1.438838835068992,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Sch%C3%A4fer_2022.jpg/500px-Sch%C3%A4fer_2022.jpg
Derry Scherhant,Germany,23.0,Bundesliga,841,3.1,0.4280618311533888,0.1070154577883472,1.177170035671819,0.6420927467300832,9.344444444444443,6000000.0,0.6352300814843226,9445396.518344952,2,-2.5233071344341966,-1.1395832107556163,https://img.a.transfermarkt.technology/portrait/header/820957-1753954863.jpg?lm=1
Abdallah Sima,Senegal,24.0,Ligue 1,427,2.53,0.2107728337236534,0.2107728337236534,1.475409836065574,1.053864168618267,4.7444444444444445,4000000.0,0.6220446464873113,6430406.599571296,2,-1.1568168722469447,0.0583254046138917,https://upload.wikimedia.org/wikipedia/commons/2/2a/Sima_asse_sb_2425.png
Giuliano Simeone,Argentina,23.0,La Liga,1779,1.62,0.1517706576728499,0.2529510961214165,0.9612141652613828,0.9612141652613828,19.766666666666666,40000000.0,0.166547311006399,240171995.32247695,0,-0.901743106780681,1.0145815077852411,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Giuliano_Simeone%2C_FC_Salzburg_vs._Atletico_Madrid_%282025-01-29_UEFA_Championsleague%29_53_%28cropped%29.jpg/500px-Giuliano_Simeone%2C_FC_Salzburg_vs._Atletico_Madrid_%282025-01-29_UEFA_Championsleague%29_53_%28cropped%29.jpg
Yuito Suzuki,Japan,24.0,Bundesliga,1350,2.2,0.2666666666666666,0.1333333333333333,1.2,0.7333333333333333,15.0,18000000.0,0.2695062367548088,66788806.88158631,2,-1.435732093262212,-0.311381392967518,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Suzuki_%282023%29.png/500px-Suzuki_%282023%29.png
Sebastian Szymański,Poland,26.0,Ligue 1,401,1.35,0.2244389027431421,0.4488778054862842,1.795511221945137,1.346633416458853,4.455555555555556,12000000.0,0.947703966778114,12662181.884493012,0,-0.4244658590304526,2.0345113101151853,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Sebastian_Szymanski.jpg/500px-Sebastian_Szymanski.jpg
Marcus Tavernier,England,26.0,Premier League,2032,2.48,0.2214566929133858,0.1771653543307086,1.1515748031496065,0.7529527559055118,22.57777777777778,23000000.0,0.3417907643824749,67292631.62377979,2,-1.5748179416814556,-0.0107310745436934,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Marcus_Tavernier_2022.jpg/500px-Marcus_Tavernier_2022.jpg
Nathan Tella,Nigeria,26.0,Bundesliga,451,1.6,0.0,0.3991130820399113,1.796008869179601,0.5986696230598669,5.011111111111111,15000000.0,0.3290543015460059,45585181.31969417,0,-0.5152394718223187,2.197066187411304,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Nathan-Tella-2025.jpg/500px-Nathan-Tella-2025.jpg
Ramón Terrats,Spain,25.0,La Liga,660,1.23,0.1363636363636363,0.1363636363636363,1.2272727272727273,1.6363636363636365,7.333333333333333,3000000.0,0.2116970356219603,14171195.128859874,0,0.3909098608516682,0.1175287973264694,https://img.a.transfermarkt.technology/portrait/header/783396-1726231968.jpg?lm=1
Khéphren Thuram,France,24.0,Serie A,1970,1.78,0.0913705583756345,0.0913705583756345,1.5076142131979695,1.1421319796954317,21.88888888888889,40000000.0,0.117942225931309,339149101.8941466,0,-0.0121659760574361,-0.2998241713774116,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/RC_Lens_-_OGC_Nice_%2810-04-2022%29_6_%28cropped%29.jpg/500px-RC_Lens_-_OGC_Nice_%2810-04-2022%29_6_%28cropped%29.jpg
Malik Tillman,United States,23.0,Bundesliga,1456,1.79,0.2472527472527472,0.0618131868131868,0.9271978021978022,1.668956043956044,16.177777777777777,30000000.0,0.2980637954087018,100649594.02018055,2,-0.3092122786949668,-0.7692240627018097,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Malik_Tillman_USMNT_v_Belgium_Mar_28_2026-70_%28cropped%29.jpg/500px-Malik_Tillman_USMNT_v_Belgium_Mar_28_2026-70_%28cropped%29.jpg
Tiago Tomás,Portugal,23.0,Bundesliga,727,3.34,0.3713892709766162,0.2475928473177441,1.485557083906465,0.6189821182943605,8.077777777777778,15000000.0,0.9419246912246276,15924840.000210634,2,-2.594819239505921,-0.2066230576659934,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Tiago_tomas.jpg/500px-Tiago_tomas.jpg
Boubacar Traoré,Mali,24.0,Ligue 1,1361,1.19,0.0661278471711976,0.0,1.917707567964732,1.719324026451139,15.122222222222222,5000000.0,0.1492350663974599,33504189.87105502,1,1.3911103653946526,-0.9380955213919704,https://commons.wikimedia.org/wiki/Special:FilePath/Boubacar_Faye_Traor%C3%A8.jpg
Beñat Turrientes,Spain,24.0,La Liga,853,1.58,0.0,0.3165298944900351,2.1101992966002343,2.1101992966002343,9.477777777777778,10000000.0,0.890740294289554,11226616.853541924,0,1.228571711932379,1.1478548021260624,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/SD_Negreira_-_Real_Sociedad%2C_Copa_do_Rei_2025-26_12_%28Turrientes%29.jpg/500px-SD_Negreira_-_Real_Sociedad%2C_Copa_do_Rei_2025-26_12_%28Turrientes%29.jpg
Manuel Ugarte,Uruguay,24.0,Premier League,788,1.26,0.0,0.0,2.398477157360406,3.083756345177665,8.755555555555556,30000000.0,0.7755264783553908,38683398.745609656,1,3.089998687853778,-1.3182872818587663,https://commons.wikimedia.org/wiki/Special:FilePath/M.UGARTE.jpg
Can Uzun,Türkiye,20.0,Bundesliga,799,3.04,0.6758448060075094,0.3379224030037547,1.3516896120150188,0.6758448060075094,8.877777777777778,45000000.0,1.4063491081087125,31997744.898858678,2,-3.4963824162342814,-0.0041797695667865,https://img.a.transfermarkt.technology/portrait/header/816585-1781174167.jpg?lm=1
Antonio Vergara,Italy,23.0,Serie A,601,1.5,0.1497504159733777,0.2995008319467554,2.396006655574044,1.3477537437603992,6.677777777777778,15000000.0,0.8442056510877055,17768182.409906223,0,0.3611690766116409,0.8666163695410621,https://commons.wikimedia.org/wiki/Special:FilePath/Antonio_Vergara_2016.jpg
Wesley,Brazil,22.0,Serie A,2109,0.94,0.1706970128022759,0.0,1.3229018492176388,1.6642958748221903,23.433333333333334,5000000.0,0.0064416712734058,776196081.3868773,1,0.8136082593960333,-0.8467205429703806,https://commons.wikimedia.org/wiki/Special:FilePath/Wesley_Snipes_(41969097750)_(cropped).jpg
Nico Williams,Spain,23.0,La Liga,1308,2.55,0.2752293577981651,0.1376146788990825,1.1697247706422018,0.4128440366972477,14.533333333333331,50000000.0,0.2415687474724292,206980416.64394772,2,-2.0007014009966286,-0.3481940393794933,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/ATHLETIC-OSASUNA_SEMIFINAL._MAIDER_GOIKOETXEA_%28168%29_%28cropped%29.jpg/500px-ATHLETIC-OSASUNA_SEMIFINAL._MAIDER_GOIKOETXEA_%28168%29_%28cropped%29.jpg
Joe Willock,England,26.0,Premier League,677,1.33,0.0,0.1329394387001477,1.994091580502216,1.994091580502216,7.522222222222222,16000000.0,0.443990446526465,36036811.434063785,1,1.547775807919314,-0.0039599444967639,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/1_joe_willock_2018.jpg/500px-1_joe_willock_2018.jpg
Patrick Wimmer,Austria,24.0,Bundesliga,1168,1.16,0.2311643835616438,0.2311643835616438,1.5410958904109588,1.0787671232876712,12.977777777777778,15000000.0,0.3638590871965388,41224750.26134977,0,-0.325807316401642,0.6809344633859211,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/U19_Austria_vs._Ireland%2819._November_2019_%29_42.jpg/500px-U19_Austria_vs._Ireland%2819._November_2019_%29_42.jpg
Arsen Zakharyan,Russian Federation,22.0,La Liga,393,2.98,0.0,0.0,1.8320610687022905,1.1450381679389314,4.366666666666666,10000000.0,0.2624879397336566,38096988.41838936,1,-0.1223512874951304,-1.3517685853061727,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Arsen_Zakharyan_2021_v_Zenit.jpg/500px-Arsen_Zakharyan_2021_v_Zenit.jpg
Nicola Zalewski,Poland,24.0,Serie A,1396,1.81,0.1289398280802292,0.2578796561604584,1.0315186246418335,1.0315186246418335,15.511111111111113,20000000.0,0.2432996421075643,82203162.43275802,0,-0.8551210843017958,0.9802486778517662,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/FC_Salzburg_gegen_AS_Roma_%28UEFA_Euroleague_play-off%2C_2023-02-16%29_14_%28cropped%29.jpg/500px-FC_Salzburg_gegen_AS_Roma_%28UEFA_Euroleague_play-off%2C_2023-02-16%29_14_%28cropped%29.jpg
